CSVv2;OperatingPoint,measurementType,sysType,jetFlavor,etaMin,etaMax,ptMin,ptmax,discrMin,discrMax,formula
0,lt,up_ltothers,0,0,2.4,140.0,200.0,0,1,1.02514300997
0,lt,down_ltothers,0,0,2.4,140.0,200.0,0,1,1.00983490293
0,lt,up_statistic,0,0,2.4,140.0,200.0,0,1,1.02511862197
0,lt,down_statistic,0,0,2.4,140.0,200.0,0,1,1.00985929093
0,lt,central,0,0,2.4,200.0,300.0,0,1,1.0235478878
0,lt,up,0,0,2.4,200.0,300.0,0,1,1.05062392144
0,lt,down,0,0,2.4,200.0,300.0,0,1,0.99001261712
0,lt,up_jes,0,0,2.4,200.0,300.0,0,1,1.02501276853
0,lt,down_jes,0,0,2.4,200.0,300.0,0,1,1.02033469669
0,lt,up_gluonsplitting,0,0,2.4,200.0,300.0,0,1,1.04408633709
0,lt,down_gluonsplitting,0,0,2.4,200.0,300.0,0,1,0.995226800442
0,lt,up_bfragmentation,0,0,2.4,200.0,300.0,0,1,1.01912212372
0,lt,down_bfragmentation,0,0,2.4,200.0,300.0,0,1,1.02898716927
0,lt,up_cfragmentation,0,0,2.4,200.0,300.0,0,1,1.02354776859
0,lt,down_cfragmentation,0,0,2.4,200.0,300.0,0,1,1.02354776859
0,lt,up_dmux,0,0,2.4,200.0,300.0,0,1,1.02354776859
0,lt,down_dmux,0,0,2.4,200.0,300.0,0,1,1.01993703842
0,lt,up_ksl,0,0,2.4,200.0,300.0,0,1,1.02338016033
0,lt,down_ksl,0,0,2.4,200.0,300.0,0,1,1.02354776859
0,lt,up_cb,0,0,2.4,200.0,300.0,0,1,1.02456616376
0,lt,down_cb,0,0,2.4,200.0,300.0,0,1,1.02252961184
0,lt,up_ltothers,0,0,2.4,200.0,300.0,0,1,1.0333265588
0,lt,down_ltothers,0,0,2.4,200.0,300.0,0,1,1.0137692168
0,lt,up_statistic,0,0,2.4,200.0,300.0,0,1,1.029436468
0,lt,down_statistic,0,0,2.4,200.0,300.0,0,1,1.01765930761
0,lt,central,0,0,2.4,300.0,670.0,0,1,1.04469764233
0,lt,up,0,0,2.4,300.0,670.0,0,1,1.08060166772
0,lt,down,0,0,2.4,300.0,670.0,0,1,0.998431069909
0,lt,up_jes,0,0,2.4,300.0,670.0,0,1,1.04550985581
0,lt,down_jes,0,0,2.4,300.0,670.0,0,1,1.04222353127
0,lt,up_gluonsplitting,0,0,2.4,300.0,670.0,0,1,1.07057332993
0,lt,down_gluonsplitting,0,0,2.4,300.0,670.0,0,1,1.00755083561
0,lt,up_bfragmentation,0,0,2.4,300.0,670.0,0,1,1.02486026287
0,lt,down_bfragmentation,0,0,2.4,300.0,670.0,0,1,1.06114435196
0,lt,up_cfragmentation,0,0,2.4,300.0,670.0,0,1,1.04469764233
0,lt,down_cfragmentation,0,0,2.4,300.0,670.0,0,1,1.04469764233
0,lt,up_dmux,0,0,2.4,300.0,670.0,0,1,1.04469764233
0,lt,down_dmux,0,0,2.4,300.0,670.0,0,1,1.04114377499
0,lt,up_ksl,0,0,2.4,300.0,670.0,0,1,1.04448843002
0,lt,down_ksl,0,0,2.4,300.0,670.0,0,1,1.04469764233
0,lt,up_cb,0,0,2.4,300.0,670.0,0,1,1.04548836861
0,lt,down_cb,0,0,2.4,300.0,670.0,0,1,1.04390691604
0,lt,up_ltothers,0,0,2.4,300.0,670.0,0,1,1.06677934322
0,lt,down_ltothers,0,0,2.4,300.0,670.0,0,1,1.02261594143
0,lt,up_statistic,0,0,2.4,300.0,670.0,0,1,1.05489820414
0,lt,down_statistic,0,0,2.4,300.0,670.0,0,1,1.03449708051
0,lt,central,0,0,2.4,670.0,1000.0,0,1,1.06932830811
0,lt,up,0,0,2.4,670.0,1000.0,0,1,1.11780947262
0,lt,down,0,0,2.4,670.0,1000.0,0,1,1.01071316321
0,lt,up_jes,0,0,2.4,670.0,1000.0,0,1,1.06949341297
0,lt,down_jes,0,0,2.4,670.0,1000.0,0,1,1.06050040737
0,lt,up_gluonsplitting,0,0,2.4,670.0,1000.0,0,1,1.09492647648
0,lt,down_gluonsplitting,0,0,2.4,670.0,1000.0,0,1,1.03012263775
0,lt,up_bfragmentation,0,0,2.4,670.0,1000.0,0,1,1.03730499744
0,lt,down_bfragmentation,0,0,2.4,670.0,1000.0,0,1,1.09985339642
0,lt,up_cfragmentation,0,0,2.4,670.0,1000.0,0,1,1.06932842731
0,lt,down_cfragmentation,0,0,2.4,670.0,1000.0,0,1,1.06932842731
0,lt,up_dmux,0,0,2.4,670.0,1000.0,0,1,1.06932842731
0,lt,down_dmux,0,0,2.4,670.0,1000.0,0,1,1.06368279457
0,lt,up_ksl,0,0,2.4,670.0,1000.0,0,1,1.06925261021
0,lt,down_ksl,0,0,2.4,670.0,1000.0,0,1,1.06932842731
0,lt,up_cb,0,0,2.4,670.0,1000.0,0,1,1.06960894574
0,lt,down_cb,0,0,2.4,670.0,1000.0,0,1,1.06904767047
0,lt,up_ltothers,0,0,2.4,670.0,1000.0,0,1,1.09403499519
0,lt,down_ltothers,0,0,2.4,670.0,1000.0,0,1,1.04462162102
0,lt,up_statistic,0,0,2.4,670.0,1000.0,0,1,1.09003739098
0,lt,down_statistic,0,0,2.4,670.0,1000.0,0,1,1.04861922523
1,lt,central,0,0,2.4,20.0,30.0,0,1,0.938743472099
1,lt,up,0,0,2.4,20.0,30.0,0,1,1.02950480934
1,lt,down,0,0,2.4,20.0,30.0,0,1,0.847849906441
1,lt,up_jes,0,0,2.4,20.0,30.0,0,1,0.961840683692
1,lt,down_jes,0,0,2.4,20.0,30.0,0,1,0.930813252926
1,lt,up_gluonsplitting,0,0,2.4,20.0,30.0,0,1,0.939941227436
1,lt,down_gluonsplitting,0,0,2.4,20.0,30.0,0,1,0.937223672867
1,lt,up_bfragmentation,0,0,2.4,20.0,30.0,0,1,0.96354585886
1,lt,down_bfragmentation,0,0,2.4,20.0,30.0,0,1,0.905451118946
1,lt,up_cfragmentation,0,0,2.4,20.0,30.0,0,1,0.938743650913
1,lt,down_cfragmentation,0,0,2.4,20.0,30.0,0,1,0.938743650913
1,lt,up_dmux,0,0,2.4,20.0,30.0,0,1,0.938743650913
1,lt,down_dmux,0,0,2.4,20.0,30.0,0,1,0.938024878502
1,lt,up_ksl,0,0,2.4,20.0,30.0,0,1,0.938777983189
1,lt,down_ksl,0,0,2.4,20.0,30.0,0,1,0.938743650913
1,lt,up_cb,0,0,2.4,20.0,30.0,0,1,0.980077841814
1,lt,down_cb,0,0,2.4,20.0,30.0,0,1,0.897409102385
1,lt,up_ltothers,0,0,2.4,20.0,30.0,0,1,1.01057772144
1,lt,down_ltothers,0,0,2.4,20.0,30.0,0,1,0.866909222757
1,lt,up_statistic,0,0,2.4,20.0,30.0,0,1,0.947485184674
1,lt,down_statistic,0,0,2.4,20.0,30.0,0,1,0.930001759525
1,lt,central,0,0,2.4,30.0,50.0,0,1,0.981564164162
1,lt,up,0,0,2.4,30.0,50.0,0,1,1.0266546695
1,lt,down,0,0,2.4,30.0,50.0,0,1,0.935485162577
1,lt,up_jes,0,0,2.4,30.0,50.0,0,1,0.99160496321
1,lt,down_jes,0,0,2.4,30.0,50.0,0,1,0.969570691022
1,lt,up_gluonsplitting,0,0,2.4,30.0,50.0,0,1,0.983941793442
1,lt,down_gluonsplitting,0,0,2.4,30.0,50.0,0,1,0.97866243124
1,lt,up_bfragmentation,0,0,2.4,30.0,50.0,0,1,0.991339981556
1,lt,down_bfragmentation,0,0,2.4,30.0,50.0,0,1,0.969676315784
1,lt,up_cfragmentation,0,0,2.4,30.0,50.0,0,1,0.981564164162
1,lt,down_cfragmentation,0,0,2.4,30.0,50.0,0,1,0.981564164162
1,lt,up_dmux,0,0,2.4,30.0,50.0,0,1,0.981564164162
1,lt,down_dmux,0,0,2.4,30.0,50.0,0,1,0.982758998871
1,lt,up_ksl,0,0,2.4,30.0,50.0,0,1,0.981527745724
1,lt,down_ksl,0,0,2.4,30.0,50.0,0,1,0.981564164162
1,lt,up_cb,0,0,2.4,30.0,50.0,0,1,0.996088926559
1,lt,down_cb,0,0,2.4,30.0,50.0,0,1,0.967039401765
1,lt,up_ltothers,0,0,2.4,30.0,50.0,0,1,1.02148642156
1,lt,down_ltothers,0,0,2.4,30.0,50.0,0,1,0.941641906759
1,lt,up_statistic,0,0,2.4,30.0,50.0,0,1,0.985254560705
1,lt,down_statistic,0,0,2.4,30.0,50.0,0,1,0.977873767619
1,lt,central,0,0,2.4,50.0,70.0,0,1,0.991280317307
1,lt,up,0,0,2.4,50.0,70.0,0,1,1.03764380468
1,lt,down,0,0,2.4,50.0,70.0,0,1,0.928646675669
1,lt,up_jes,0,0,2.4,50.0,70.0,0,1,0.993984222412
1,lt,down_jes,0,0,2.4,50.0,70.0,0,1,0.948704623915
1,lt,up_gluonsplitting,0,0,2.4,50.0,70.0,0,1,0.99736571312
1,lt,down_gluonsplitting,0,0,2.4,50.0,70.0,0,1,0.984145700932
1,lt,up_bfragmentation,0,0,2.4,50.0,70.0,0,1,1.00466120243
1,lt,down_bfragmentation,0,0,2.4,50.0,70.0,0,1,0.979749143124
1,lt,up_cfragmentation,0,0,2.4,50.0,70.0,0,1,0.991280317307
1,lt,down_cfragmentation,0,0,2.4,50.0,70.0,0,1,0.991280317307
1,lt,up_dmux,0,0,2.4,50.0,70.0,0,1,0.991280317307
1,lt,down_dmux,0,0,2.4,50.0,70.0,0,1,0.990817010403
1,lt,up_ksl,0,0,2.4,50.0,70.0,0,1,0.991152703762
1,lt,down_ksl,0,0,2.4,50.0,70.0,0,1,0.991280317307
1,lt,up_cb,0,0,2.4,50.0,70.0,0,1,0.997044314698
1,lt,down_cb,0,0,2.4,50.0,70.0,0,1,0.985516319915
1,lt,up_ltothers,0,0,2.4,50.0,70.0,0,1,1.03382791976
1,lt,down_ltothers,0,0,2.4,50.0,70.0,0,1,0.948732714858
1,lt,up_statistic,0,0,2.4,50.0,70.0,0,1,0.999914258702
1,lt,down_statistic,0,0,2.4,50.0,70.0,0,1,0.982646375912
1,lt,central,0,0,2.4,70.0,100.0,0,1,1.01482212543
1,lt,up,0,0,2.4,70.0,100.0,0,1,1.04947447104
1,lt,down,0,0,2.4,70.0,100.0,0,1,0.979724067708
1,lt,up_jes,0,0,2.4,70.0,100.0,0,1,1.01782464981
1,lt,down_jes,0,0,2.4,70.0,100.0,0,1,1.01192914484
1,lt,up_gluonsplitting,0,0,2.4,70.0,100.0,0,1,1.02314293385
1,lt,down_gluonsplitting,0,0,2.4,70.0,100.0,0,1,1.00434911251
1,lt,up_bfragmentation,0,0,2.4,70.0,100.0,0,1,1.02432203293
1,lt,down_bfragmentation,0,0,2.4,70.0,100.0,0,1,1.00580823421
1,lt,up_cfragmentation,0,0,2.4,70.0,100.0,0,1,1.01482212543
1,lt,down_cfragmentation,0,0,2.4,70.0,100.0,0,1,1.01482212543
1,lt,up_dmux,0,0,2.4,70.0,100.0,0,1,1.01482212543
1,lt,down_dmux,0,0,2.4,70.0,100.0,0,1,1.01429235935
1,lt,up_ksl,0,0,2.4,70.0,100.0,0,1,1.01476192474
1,lt,down_ksl,0,0,2.4,70.0,100.0,0,1,1.01482212543
1,lt,up_cb,0,0,2.4,70.0,100.0,0,1,1.01938599945
1,lt,down_cb,0,0,2.4,70.0,100.0,0,1,1.01025825142
1,lt,up_ltothers,0,0,2.4,70.0,100.0,0,1,1.04683821073
1,lt,down_ltothers,0,0,2.4,70.0,100.0,0,1,0.982806040135
1,lt,up_statistic,0,0,2.4,70.0,100.0,0,1,1.02224302304
1,lt,down_statistic,0,0,2.4,70.0,100.0,0,1,1.00740122783
1,lt,central,0,0,2.4,100.0,140.0,0,1,1.03390657902
1,lt,up,0,0,2.4,100.0,140.0,0,1,1.0632837586
1,lt,down,0,0,2.4,100.0,140.0,0,1,1.0030727821
1,lt,up_jes,0,0,2.4,100.0,140.0,0,1,1.03483939171
1,lt,down_jes,0,0,2.4,100.0,140.0,0,1,1.03046873581
1,lt,up_gluonsplitting,0,0,2.4,100.0,140.0,0,1,1.04637181759
1,lt,down_gluonsplitting,0,0,2.4,100.0,140.0,0,1,1.01782667637
1,lt,up_bfragmentation,0,0,2.4,100.0,140.0,0,1,1.04140460491
1,lt,down_bfragmentation,0,0,2.4,100.0,140.0,0,1,1.02883481979
1,lt,up_cfragmentation,0,0,2.4,100.0,140.0,0,1,1.03390657902
1,lt,down_cfragmentation,0,0,2.4,100.0,140.0,0,1,1.03390657902
1,lt,up_dmux,0,0,2.4,100.0,140.0,0,1,1.03390657902
1,lt,down_dmux,0,0,2.4,100.0,140.0,0,1,1.03189492226
1,lt,up_ksl,0,0,2.4,100.0,140.0,0,1,1.03374683857
1,lt,down_ksl,0,0,2.4,100.0,140.0,0,1,1.03390657902
1,lt,up_cb,0,0,2.4,100.0,140.0,0,1,1.03859239826
1,lt,down_cb,0,0,2.4,100.0,140.0,0,1,1.02922075978
1,lt,up_ltothers,0,0,2.4,100.0,140.0,0,1,1.05821045251
1,lt,down_ltothers,0,0,2.4,100.0,140.0,0,1,1.00960270553
1,lt,up_statistic,0,0,2.4,100.0,140.0,0,1,1.04014734435
1,lt,down_statistic,0,0,2.4,100.0,140.0,0,1,1.02766581369
1,lt,central,0,0,2.4,140.0,200.0,0,1,1.03234398365
1,lt,up,0,0,2.4,140.0,200.0,0,1,1.0546190334
1,lt,down,0,0,2.4,140.0,200.0,0,1,1.00597885168
1,lt,up_jes,0,0,2.4,140.0,200.0,0,1,1.03297935306
1,lt,down_jes,0,0,2.4,140.0,200.0,0,1,1.0294038832
1,lt,up_gluonsplitting,0,0,2.4,140.0,200.0,0,1,1.0481364727
1,lt,down_gluonsplitting,0,0,2.4,140.0,200.0,0,1,1.01122927666
1,lt,up_bfragmentation,0,0,2.4,140.0,200.0,0,1,1.03753602505
1,lt,down_bfragmentation,0,0,2.4,140.0,200.0,0,1,1.02911126614
1,lt,up_cfragmentation,0,0,2.4,140.0,200.0,0,1,1.03234398365
1,lt,down_cfragmentation,0,0,2.4,140.0,200.0,0,1,1.03234398365
1,lt,up_dmux,0,0,2.4,140.0,200.0,0,1,1.03234398365
1,lt,down_dmux,0,0,2.4,140.0,200.0,0,1,1.02906394005
1,lt,up_ksl,0,0,2.4,140.0,200.0,0,1,1.03219616413
1,lt,down_ksl,0,0,2.4,140.0,200.0,0,1,1.03234398365
1,lt,up_cb,0,0,2.4,140.0,200.0,0,1,1.03693811338
1,lt,down_cb,0,0,2.4,140.0,200.0,0,1,1.02774985392
1,lt,up_ltothers,0,0,2.4,140.0,200.0,0,1,1.04313616687
1,lt,down_ltothers,0,0,2.4,140.0,200.0,0,1,1.02155180043
1,lt,up_statistic,0,0,2.4,140.0,200.0,0,1,1.04011812422
1,lt,down_statistic,0,0,2.4,140.0,200.0,0,1,1.02456984308
1,lt,central,0,0,2.4,200.0,300.0,0,1,1.04095470905
1,lt,up,0,0,2.4,200.0,300.0,0,1,1.07442171844
1,lt,down,0,0,2.4,200.0,300.0,0,1,1.00190417353
1,lt,up_jes,0,0,2.4,200.0,300.0,0,1,1.04244468582
1,lt,down_jes,0,0,2.4,200.0,300.0,0,1,1.03768715891
1,lt,up_gluonsplitting,0,0,2.4,200.0,300.0,0,1,1.06184256077
1,lt,down_gluonsplitting,0,0,2.4,200.0,300.0,0,1,1.01215219498
1,lt,up_bfragmentation,0,0,2.4,200.0,300.0,0,1,1.03645396233
1,lt,down_bfragmentation,0,0,2.4,200.0,300.0,0,1,1.04648673534
1,lt,up_cfragmentation,0,0,2.4,200.0,300.0,0,1,1.04095470905
1,lt,down_cfragmentation,0,0,2.4,200.0,300.0,0,1,1.04095470905
1,lt,up_dmux,0,0,2.4,200.0,300.0,0,1,1.04095470905
1,lt,down_dmux,0,0,2.4,200.0,300.0,0,1,1.03728294373
1,lt,up_ksl,0,0,2.4,200.0,300.0,0,1,1.04078435898
1,lt,down_ksl,0,0,2.4,200.0,300.0,0,1,1.04095470905
1,lt,up_cb,0,0,2.4,200.0,300.0,0,1,1.04423076436
1,lt,down_cb,0,0,2.4,200.0,300.0,0,1,1.03767865375
1,lt,up_ltothers,0,0,2.4,200.0,300.0,0,1,1.06536532733
1,lt,down_ltothers,0,0,2.4,200.0,300.0,0,1,1.01654409078
1,lt,up_statistic,0,0,2.4,200.0,300.0,0,1,1.04723172616
1,lt,down_statistic,0,0,2.4,200.0,300.0,0,1,1.03467769194
1,lt,central,0,0,2.4,300.0,670.0,0,1,1.0516679287
1,lt,up,0,0,2.4,300.0,670.0,0,1,1.09068823034
1,lt,down,0,0,2.4,300.0,670.0,0,1,1.00282670002
1,lt,up_jes,0,0,2.4,300.0,670.0,0,1,1.05248568889
1,lt,down_jes,0,0,2.4,300.0,670.0,0,1,1.04917749469
1,lt,up_gluonsplitting,0,0,2.4,300.0,670.0,0,1,1.07771635056
1,lt,down_gluonsplitting,0,0,2.4,300.0,670.0,0,1,1.01427328587
1,lt,up_bfragmentation,0,0,2.4,300.0,670.0,0,1,1.03169822693
1,lt,down_bfragmentation,0,0,2.4,300.0,670.0,0,1,1.06822454929
1,lt,up_cfragmentation,0,0,2.4,300.0,670.0,0,1,1.0516680479
1,lt,down_cfragmentation,0,0,2.4,300.0,670.0,0,1,1.0516680479
1,lt,up_dmux,0,0,2.4,300.0,670.0,0,1,1.0516680479
1,lt,down_dmux,0,0,2.4,300.0,670.0,0,1,1.04809057713
1,lt,up_ksl,0,0,2.4,300.0,670.0,0,1,1.05145728588
1,lt,down_ksl,0,0,2.4,300.0,670.0,0,1,1.0516680479
1,lt,up_cb,0,0,2.4,300.0,670.0,0,1,1.05393466624
1,lt,down_cb,0,0,2.4,300.0,670.0,0,1,1.04940119115
1,lt,up_ltothers,0,0,2.4,300.0,670.0,0,1,1.07016667664
1,lt,down_ltothers,0,0,2.4,300.0,670.0,0,1,1.03316918075
1,lt,up_statistic,0,0,2.4,300.0,670.0,0,1,1.0621074774
1,lt,down_statistic,0,0,2.4,300.0,670.0,0,1,1.04122838
1,lt,central,0,0,2.4,670.0,1000.0,0,1,1.01895272732
1,lt,up,0,0,2.4,670.0,1000.0,0,1,1.07115022622
1,lt,down,0,0,2.4,670.0,1000.0,0,1,0.958042582189
1,lt,up_jes,0,0,2.4,670.0,1000.0,0,1,1.01911008358
1,lt,down_jes,0,0,2.4,670.0,1000.0,0,1,1.0105406215
