DeepCSV;OperatingPoint,measurementType,sysType,jetFlavor,etaMin,etaMax,ptMin,ptmax,discrMin,discrMax,formula
1,lt,up,0,0,2.4,670.0,1000.0,0,1,1.01049906485
1,lt,down,0,0,2.4,670.0,1000.0,0,1,0.913162473589
1,lt,up_jes,0,0,2.4,670.0,1000.0,0,1,0.966491281986
1,lt,down_jes,0,0,2.4,670.0,1000.0,0,1,0.958983453553
1,lt,up_gluonsplitting,0,0,2.4,670.0,1000.0,0,1,0.990056157112
1,lt,down_gluonsplitting,0,0,2.4,670.0,1000.0,0,1,0.930427193642
1,lt,up_bfragmentation,0,0,2.4,670.0,1000.0,0,1,0.937038719654
1,lt,down_bfragmentation,0,0,2.4,670.0,1000.0,0,1,0.994591891766
1,lt,up_cfragmentation,0,0,2.4,670.0,1000.0,0,1,0.966493844986
1,lt,down_cfragmentation,0,0,2.4,670.0,1000.0,0,1,0.966493844986
1,lt,up_dmux,0,0,2.4,670.0,1000.0,0,1,0.966493844986
1,lt,down_dmux,0,0,2.4,670.0,1000.0,0,1,0.961220502853
1,lt,up_ksl,0,0,2.4,670.0,1000.0,0,1,0.966428101063
1,lt,down_ksl,0,0,2.4,670.0,1000.0,0,1,0.966493844986
1,lt,up_cb,0,0,2.4,670.0,1000.0,0,1,0.96737501897
1,lt,down_cb,0,0,2.4,670.0,1000.0,0,1,0.965607545003
1,lt,up_ltothers,0,0,2.4,670.0,1000.0,0,1,0.981940466562
1,lt,down_ltothers,0,0,2.4,670.0,1000.0,0,1,0.95104209741
1,lt,up_statistic,0,0,2.4,670.0,1000.0,0,1,0.981610536613
1,lt,down_statistic,0,0,2.4,670.0,1000.0,0,1,0.951372027359
2,lt,central,0,0,2.4,20.0,30.0,0,1,0.96707868576
2,lt,up,0,0,2.4,20.0,30.0,0,1,1.02629777642
2,lt,down,0,0,2.4,20.0,30.0,0,1,0.907809479055
2,lt,up_jes,0,0,2.4,20.0,30.0,0,1,0.990999949314
2,lt,down_jes,0,0,2.4,20.0,30.0,0,1,0.958356022835
2,lt,up_gluonsplitting,0,0,2.4,20.0,30.0,0,1,0.968247175217
2,lt,down_gluonsplitting,0,0,2.4,20.0,30.0,0,1,0.9656432271
2,lt,up_bfragmentation,0,0,2.4,20.0,30.0,0,1,0.992215931416
2,lt,down_bfragmentation,0,0,2.4,20.0,30.0,0,1,0.933429896832
2,lt,up_cfragmentation,0,0,2.4,20.0,30.0,0,1,0.96707880497
2,lt,down_cfragmentation,0,0,2.4,20.0,30.0,0,1,0.96707880497
2,lt,up_dmux,0,0,2.4,20.0,30.0,0,1,0.96707880497
2,lt,down_dmux,0,0,2.4,20.0,30.0,0,1,0.966064810753
2,lt,up_ksl,0,0,2.4,20.0,30.0,0,1,0.967131853104
2,lt,down_ksl,0,0,2.4,20.0,30.0,0,1,0.96707880497
2,lt,up_cb,0,0,2.4,20.0,30.0,0,1,1.00882781658
2,lt,down_cb,0,0,2.4,20.0,30.0,0,1,0.925329554937
2,lt,up_ltothers,0,0,2.4,20.0,30.0,0,1,0.97394929216
2,lt,down_ltothers,0,0,2.4,20.0,30.0,0,1,0.960208079361
2,lt,up_statistic,0,0,2.4,20.0,30.0,0,1,0.976592535942
2,lt,down_statistic,0,0,2.4,20.0,30.0,0,1,0.957564835579
2,lt,central,0,0,2.4,30.0,50.0,0,1,0.986394524574
2,lt,up,0,0,2.4,30.0,50.0,0,1,1.03927429145
2,lt,down,0,0,2.4,30.0,50.0,0,1,0.932590259008
2,lt,up_jes,0,0,2.4,30.0,50.0,0,1,0.997086944649
2,lt,down_jes,0,0,2.4,30.0,50.0,0,1,0.97373954919
2,lt,up_gluonsplitting,0,0,2.4,30.0,50.0,0,1,0.988933563232
2,lt,down_gluonsplitting,0,0,2.4,30.0,50.0,0,1,0.983340680599
2,lt,up_bfragmentation,0,0,2.4,30.0,50.0,0,1,0.996057450771
2,lt,down_bfragmentation,0,0,2.4,30.0,50.0,0,1,0.974324703217
2,lt,up_cfragmentation,0,0,2.4,30.0,50.0,0,1,0.986395955086
2,lt,down_cfragmentation,0,0,2.4,30.0,50.0,0,1,0.986395955086
2,lt,up_dmux,0,0,2.4,30.0,50.0,0,1,0.986395955086
2,lt,down_dmux,0,0,2.4,30.0,50.0,0,1,0.987937569618
2,lt,up_ksl,0,0,2.4,30.0,50.0,0,1,0.986349821091
2,lt,down_ksl,0,0,2.4,30.0,50.0,0,1,0.986395955086
2,lt,up_cb,0,0,2.4,30.0,50.0,0,1,1.00090314144
2,lt,down_cb,0,0,2.4,30.0,50.0,0,1,0.971885907704
2,lt,up_ltothers,0,0,2.4,30.0,50.0,0,1,1.02772718278
2,lt,down_ltothers,0,0,2.4,30.0,50.0,0,1,0.94506186637
2,lt,up_statistic,0,0,2.4,30.0,50.0,0,1,0.990059577879
2,lt,down_statistic,0,0,2.4,30.0,50.0,0,1,0.98272947127
2,lt,central,0,0,2.4,50.0,70.0,0,1,0.962884426117
2,lt,up,0,0,2.4,50.0,70.0,0,1,1.0090425367
2,lt,down,0,0,2.4,50.0,70.0,0,1,0.899729817612
2,lt,up_jes,0,0,2.4,50.0,70.0,0,1,0.965624451637
2,lt,down_jes,0,0,2.4,50.0,70.0,0,1,0.919424171088
2,lt,up_gluonsplitting,0,0,2.4,50.0,70.0,0,1,0.969644129276
2,lt,down_gluonsplitting,0,0,2.4,50.0,70.0,0,1,0.954864621162
2,lt,up_bfragmentation,0,0,2.4,50.0,70.0,0,1,0.97654747963
2,lt,down_bfragmentation,0,0,2.4,50.0,70.0,0,1,0.950854897499
2,lt,up_cfragmentation,0,0,2.4,50.0,70.0,0,1,0.962884366512
2,lt,down_cfragmentation,0,0,2.4,50.0,70.0,0,1,0.962884366512
2,lt,up_dmux,0,0,2.4,50.0,70.0,0,1,0.962884366512
2,lt,down_dmux,0,0,2.4,50.0,70.0,0,1,0.963037788868
2,lt,up_ksl,0,0,2.4,50.0,70.0,0,1,0.962755262852
2,lt,down_ksl,0,0,2.4,50.0,70.0,0,1,0.962884366512
2,lt,up_cb,0,0,2.4,50.0,70.0,0,1,0.968336584816
2,lt,down_cb,0,0,2.4,50.0,70.0,0,1,0.957432267418
2,lt,up_ltothers,0,0,2.4,50.0,70.0,0,1,1.0054374161
2,lt,down_ltothers,0,0,2.4,50.0,70.0,0,1,0.920331436135
2,lt,up_statistic,0,0,2.4,50.0,70.0,0,1,0.970592918941
2,lt,down_statistic,0,0,2.4,50.0,70.0,0,1,0.955175933293
2,lt,central,0,0,2.4,70.0,100.0,0,1,0.965045690536
2,lt,up,0,0,2.4,70.0,100.0,0,1,1.0175523246
2,lt,down,0,0,2.4,70.0,100.0,0,1,0.912367147045
2,lt,up_jes,0,0,2.4,70.0,100.0,0,1,0.96836322546
2,lt,down_jes,0,0,2.4,70.0,100.0,0,1,0.96306986361
2,lt,up_gluonsplitting,0,0,2.4,70.0,100.0,0,1,0.973669409752
2,lt,down_gluonsplitting,0,0,2.4,70.0,100.0,0,1,0.954245746136
2,lt,up_bfragmentation,0,0,2.4,70.0,100.0,0,1,0.974318385124
2,lt,down_bfragmentation,0,0,2.4,70.0,100.0,0,1,0.956762909889
2,lt,up_cfragmentation,0,0,2.4,70.0,100.0,0,1,0.965045690536
2,lt,down_cfragmentation,0,0,2.4,70.0,100.0,0,1,0.965045690536
2,lt,up_dmux,0,0,2.4,70.0,100.0,0,1,0.965045690536
2,lt,down_dmux,0,0,2.4,70.0,100.0,0,1,0.964509606361
2,lt,up_ksl,0,0,2.4,70.0,100.0,0,1,0.964973390102
2,lt,down_ksl,0,0,2.4,70.0,100.0,0,1,0.965045690536
2,lt,up_cb,0,0,2.4,70.0,100.0,0,1,0.969362009554
2,lt,down_cb,0,0,2.4,70.0,100.0,0,1,0.960729371519
2,lt,up_ltothers,0,0,2.4,70.0,100.0,0,1,1.0152182943
2,lt,down_ltothers,0,0,2.4,70.0,100.0,0,1,0.914873086778
2,lt,up_statistic,0,0,2.4,70.0,100.0,0,1,0.971577320163
2,lt,down_statistic,0,0,2.4,70.0,100.0,0,1,0.95851406091
2,lt,central,0,0,2.4,100.0,140.0,0,1,0.993258178234
2,lt,up,0,0,2.4,100.0,140.0,0,1,1.04065673919
2,lt,down,0,0,2.4,100.0,140.0,0,1,0.944919943617
2,lt,up_jes,0,0,2.4,100.0,140.0,0,1,0.994073212147
2,lt,down_jes,0,0,2.4,100.0,140.0,0,1,0.989949397704
2,lt,up_gluonsplitting,0,0,2.4,100.0,140.0,0,1,1.00607538223
2,lt,down_gluonsplitting,0,0,2.4,100.0,140.0,0,1,0.976787924767
2,lt,up_bfragmentation,0,0,2.4,100.0,140.0,0,1,1.00055372715
2,lt,down_bfragmentation,0,0,2.4,100.0,140.0,0,1,0.988585650921
2,lt,up_cfragmentation,0,0,2.4,100.0,140.0,0,1,0.993258178234
2,lt,down_cfragmentation,0,0,2.4,100.0,140.0,0,1,0.993258178234
2,lt,up_dmux,0,0,2.4,100.0,140.0,0,1,0.993258178234
2,lt,down_dmux,0,0,2.4,100.0,140.0,0,1,0.991244256496
2,lt,up_ksl,0,0,2.4,100.0,140.0,0,1,0.99309784174
2,lt,down_ksl,0,0,2.4,100.0,140.0,0,1,0.993258178234
2,lt,up_cb,0,0,2.4,100.0,140.0,0,1,0.997689486218
2,lt,down_cb,0,0,2.4,100.0,140.0,0,1,0.98882687025
2,lt,up_ltothers,0,0,2.4,100.0,140.0,0,1,1.03760951256
2,lt,down_ltothers,0,0,2.4,100.0,140.0,0,1,0.948906843908
2,lt,up_statistic,0,0,2.4,100.0,140.0,0,1,0.998916671855
2,lt,down_statistic,0,0,2.4,100.0,140.0,0,1,0.987599684613
2,lt,central,0,0,2.4,140.0,200.0,0,1,0.988282561302
2,lt,up,0,0,2.4,140.0,200.0,0,1,1.02793439942
2,lt,down,0,0,2.4,140.0,200.0,0,1,0.946165996543
2,lt,up_jes,0,0,2.4,140.0,200.0,0,1,0.989034295198
2,lt,down_jes,0,0,2.4,140.0,200.0,0,1,0.985083498396
2,lt,up_gluonsplitting,0,0,2.4,140.0,200.0,0,1,1.00420093536
2,lt,down_gluonsplitting,0,0,2.4,140.0,200.0,0,1,0.967048823833
2,lt,up_bfragmentation,0,0,2.4,140.0,200.0,0,1,0.992994487286
2,lt,down_bfragmentation,0,0,2.4,140.0,200.0,0,1,0.985601246357
2,lt,up_cfragmentation,0,0,2.4,140.0,200.0,0,1,0.988282680511
2,lt,down_cfragmentation,0,0,2.4,140.0,200.0,0,1,0.988282680511
2,lt,up_dmux,0,0,2.4,140.0,200.0,0,1,0.988282680511
2,lt,down_dmux,0,0,2.4,140.0,200.0,0,1,0.985219717026
2,lt,up_ksl,0,0,2.4,140.0,200.0,0,1,0.988131999969
2,lt,down_ksl,0,0,2.4,140.0,200.0,0,1,0.988282680511
2,lt,up_cb,0,0,2.4,140.0,200.0,0,1,0.992834714343
2,lt,down_cb,0,0,2.4,140.0,200.0,0,1,0.983730408262
2,lt,up_ltothers,0,0,2.4,140.0,200.0,0,1,1.01914523545
2,lt,down_ltothers,0,0,2.4,140.0,200.0,0,1,0.957419887158
2,lt,up_statistic,0,0,2.4,140.0,200.0,0,1,0.994935509883
2,lt,down_statistic,0,0,2.4,140.0,200.0,0,1,0.981629612721
2,lt,central,0,0,2.4,200.0,300.0,0,1,0.984950840473
2,lt,up,0,0,2.4,200.0,300.0,0,1,1.03343339488
2,lt,down,0,0,2.4,200.0,300.0,0,1,0.932620439594
2,lt,up_jes,0,0,2.4,200.0,300.0,0,1,0.986156170222
2,lt,down_jes,0,0,2.4,200.0,300.0,0,1,0.982149503571
2,lt,up_gluonsplitting,0,0,2.4,200.0,300.0,0,1,1.00568258762
2,lt,down_gluonsplitting,0,0,2.4,200.0,300.0,0,1,0.956541657448
2,lt,up_bfragmentation,0,0,2.4,200.0,300.0,0,1,0.981407701969
2,lt,down_bfragmentation,0,0,2.4,200.0,300.0,0,1,0.989200592041
2,lt,up_cfragmentation,0,0,2.4,200.0,300.0,0,1,0.984950959682
2,lt,down_cfragmentation,0,0,2.4,200.0,300.0,0,1,0.984950959682
2,lt,up_dmux,0,0,2.4,200.0,300.0,0,1,0.984950959682
2,lt,down_dmux,0,0,2.4,200.0,300.0,0,1,0.981834053993
2,lt,up_ksl,0,0,2.4,200.0,300.0,0,1,0.984766542912
2,lt,down_ksl,0,0,2.4,200.0,300.0,0,1,0.984950959682
2,lt,up_cb,0,0,2.4,200.0,300.0,0,1,0.988223617699
2,lt,down_cb,0,0,2.4,200.0,300.0,0,1,0.981678063248
2,lt,up_ltothers,0,0,2.4,200.0,300.0,0,1,1.00740538153
2,lt,down_ltothers,0,0,2.4,200.0,300.0,0,1,0.962496299415
2,lt,up_statistic,0,0,2.4,200.0,300.0,0,1,0.991319164233
2,lt,down_statistic,0,0,2.4,200.0,300.0,0,1,0.978582516714
2,lt,central,0,0,2.4,300.0,670.0,0,1,0.926663219929
2,lt,up,0,0,2.4,300.0,670.0,0,1,0.973123077404
2,lt,down,0,0,2.4,300.0,670.0,0,1,0.87303723059
2,lt,up_jes,0,0,2.4,300.0,670.0,0,1,0.927187425975
2,lt,down_jes,0,0,2.4,300.0,670.0,0,1,0.924460474191
2,lt,up_gluonsplitting,0,0,2.4,300.0,670.0,0,1,0.950769424438
2,lt,down_gluonsplitting,0,0,2.4,300.0,670.0,0,1,0.892222821712
2,lt,up_bfragmentation,0,0,2.4,300.0,670.0,0,1,0.90940117836
2,lt,down_bfragmentation,0,0,2.4,300.0,670.0,0,1,0.940785646439
2,lt,up_cfragmentation,0,0,2.4,300.0,670.0,0,1,0.926663219929
2,lt,down_cfragmentation,0,0,2.4,300.0,670.0,0,1,0.926663219929
2,lt,up_dmux,0,0,2.4,300.0,670.0,0,1,0.926663219929
2,lt,down_dmux,0,0,2.4,300.0,670.0,0,1,0.92365527153
2,lt,up_ksl,0,0,2.4,300.0,670.0,0,1,0.926472842693
2,lt,down_ksl,0,0,2.4,300.0,670.0,0,1,0.926663219929
2,lt,up_cb,0,0,2.4,300.0,670.0,0,1,0.928838670565
2,lt,down_cb,0,0,2.4,300.0,670.0,0,1,0.924487769292
2,lt,up_ltothers,0,0,2.4,300.0,670.0,0,1,0.944091999772
2,lt,down_ltothers,0,0,2.4,300.0,670.0,0,1,0.909234440085
2,lt,up_statistic,0,0,2.4,300.0,670.0,0,1,0.935786087244
2,lt,down_statistic,0,0,2.4,300.0,670.0,0,1,0.917540352613
2,lt,central,0,0,2.4,670.0,1000.0,0,1,0.829419851303
2,lt,up,0,0,2.4,670.0,1000.0,0,1,0.908721306764
2,lt,down,0,0,2.4,670.0,1000.0,0,1,0.746011796838
2,lt,up_jes,0,0,2.4,670.0,1000.0,0,1,0.829419851303
2,lt,down_jes,0,0,2.4,670.0,1000.0,0,1,0.822976686463
2,lt,up_gluonsplitting,0,0,2.4,670.0,1000.0,0,1,0.849642693996
2,lt,down_gluonsplitting,0,0,2.4,670.0,1000.0,0,1,0.798470497131
2,lt,up_bfragmentation,0,0,2.4,670.0,1000.0,0,1,0.804144382477
2,lt,down_bfragmentation,0,0,2.4,670.0,1000.0,0,1,0.853535056114
2,lt,up_cfragmentation,0,0,2.4,670.0,1000.0,0,1,0.829422056675
2,lt,down_cfragmentation,0,0,2.4,670.0,1000.0,0,1,0.829422056675
2,lt,up_dmux,0,0,2.4,670.0,1000.0,0,1,0.829422056675
2,lt,down_dmux,0,0,2.4,670.0,1000.0,0,1,0.82489657402
2,lt,up_ksl,0,0,2.4,670.0,1000.0,0,1,0.829365611076
2,lt,down_ksl,0,0,2.4,670.0,1000.0,0,1,0.829422056675
2,lt,up_cb,0,0,2.4,670.0,1000.0,0,1,0.830318821196
2,lt,down_cb,0,0,2.4,670.0,1000.0,0,1,0.82852088141
2,lt,up_ltothers,0,0,2.4,670.0,1000.0,0,1,0.901253595217
2,lt,down_ltothers,0,0,2.4,670.0,1000.0,0,1,0.757586107389
2,lt,up_statistic,0,0,2.4,670.0,1000.0,0,1,0.842623651561
2,lt,down_statistic,0,0,2.4,670.0,1000.0,0,1,0.816216051045
